zone,ward,colony,year,month,mean_ndvi
6,7,1748,2018,1,0.2263122876485188
6,7,1749,2018,1,0.2499665399960928
6,7,1750,2018,1,0.4554104397701077
6,7,1751,2018,1,0.3626703118430142
6,8,339,2018,1,0.1566418613675097
6,8,876,2018,1,0.2954142473844593
6,8,947,2018,1,0.160539023365986
6,8,1130,2018,1,0.2170921249687026
6,8,1262,2018,1,0.2474261654568985
6,8,1707,2018,1,0.1361692373117878
6,8,1708,2018,1,0.1178021010624298
6,8,1727,2018,1,0.1577807718671132
6,8,1842,2018,1,0.1650161597206801
6,8,2008,2018,1,0.190760976370771
6,8,2073,2018,1,0.1016832844854738
6,8,2084,2018,1,0.0972634330391883
6,8,2128,2018,1,0.0609679445624351
6,8,2169,2018,1,0.1604747176170349
6,8,2188,2018,1,0.0437017977237701
6,9,48,2018,1,0.237266765941273
6,9,49,2018,1,0.1691183715031065
6,9,50,2018,1,0.1202470320689527
6,9,477,2018,1,0.1031906585277588
6,9,841,2018,1,0.1327118854794605
6,9,1109,2018,1,0.2971214702111164
6,9,2253,2018,1,0.0451206713914871
6,10,309,2018,1,0.1800956126907109
6,10,365,2018,1,0.2487646076281013
6,10,1703,2018,1,0.320626023602684
6,10,1710,2018,1,0.1862428437654086
6,11,313,2018,1,0.1980975492815193
6,11,314,2018,1,0.1147186635533195
6,11,370,2018,1,0.2256650719703438
6,11,938,2018,1,0.1746603148117412
6,11,941,2018,1,0.1975927030589898
6,11,942,2018,1,0.1678095183954559
6,11,945,2018,1,0.0474887900698968
6,11,2134,2018,1,0.0294259525835514
6,11,2282,2018,1,0.0705626383423805
6,12,310,2018,1,0.3287685278690223
6,12,311,2018,1,0.3172871370493255
6,12,312,2018,1,0.2655560385248105
6,12,317,2018,1,0.0865430921596419
6,12,318,2018,1,0.2541242377293288
6,12,319,2018,1,0.2211638947236373
6,12,320,2018,1,0.230844882908713
6,12,334,2018,1,0.1601728950318354
6,12,338,2018,1,0.2157774571772222
6,12,349,2018,1,0.158071975166916
6,12,350,2018,1,0.2045263706702478
6,12,358,2018,1,0.3597177937512038
6,12,361,2018,1,0.2511942405400313
6,12,939,2018,1,0.1612431736996299
6,12,1417,2018,1,0.1380600532476049
6,12,1490,2018,1,0.3512201719996374
6,12,1702,2018,1,0.2456267930133851
6,12,2177,2018,1,0.2891446650028229
6,13,315,2018,1,0.1118179981769388
6,13,316,2018,1,0.126336090324461
6,13,321,2018,1,0.1270135609449538
6,13,322,2018,1,0.0966741310782125
6,13,323,2018,1,0.0884067285840756
6,13,340,2018,1,0.1531840543409601
6,13,343,2018,1,0.3050061008960903
6,13,362,2018,1,0.13144230409102
6,13,833,2018,1,0.217363264177229
6,13,1099,2018,1,0.2212094075637801
6,13,1173,2018,1,0.1654790895503068
6,14,324,2018,1,0.0761335989520819
6,14,354,2018,1,0.0981123678427073
6,14,355,2018,1,0.0993584322642131
6,14,356,2018,1,0.0947098958174697
6,14,363,2018,1,0.0979471166197953
6,14,1171,2018,1,0.0692125849810271
6,14,1269,2018,1,0.1163130968537179
6,14,1270,2018,1,0.1459887893201436
6,14,1498,2018,1,0.0877250294911057
6,14,1499,2018,1,0.0941884409365033
6,15,325,2018,1,0.1017792397730644
6,15,326,2018,1,0.0873487333685045
6,15,327,2018,1,0.0955657110845518
6,15,328,2018,1,0.1352304311899038
6,15,359,2018,1,0.1657707429875088
6,15,360,2018,1,0.0829836860377127
6,15,937,2018,1,0.1879538216158771
6,15,1732,2018,1,0.1020753563895885
6,15,2232,2018,1,0.4910930395126343
6,16,839,2018,1,0.1376307336141005
6,17,277,2018,1,0.1223504214540496
6,17,278,2018,1,0.1071641159352644
6,17,279,2018,1,0.052806593970195
6,17,1050,2018,1,0.2088534219793535
6,17,1128,2018,1,0.1164029698143399
6,17,1719,2018,1,0.0747646469253677
6,17,1720,2018,1,0.1824774030463812
6,17,1949,2018,1,0.0980567412100499
6,17,1950,2018,1,0.0641966459283418
6,17,1951,2018,1,0.1018902301600376
6,18,280,2018,1,0.0814406373419479
6,18,281,2018,1,0.0748390639847335
6,18,282,2018,1,0.0906401823401531
6,18,304,2018,1,0.0793958735784667
6,18,923,2018,1,0.099142840616652
6,18,1049,2018,1,0.1283089650841467
6,18,1113,2018,1,0.1701574201978435
6,18,1260,2018,1,0.0872573049444901
6,18,1261,2018,1,0.0731690174012672
6,18,1473,2018,1,0.1024957805740289
6,18,1701,2018,1,0.1004608855143753
6,18,2020,2018,1,0.1630322389869593
6,18,2299,2018,1,0.0646999701857566
6,18,2308,2018,1,0.1110582649707794
6,19,1069,2018,1,0.1303404916356475
6,19,1083,2018,1,0.1137126429486355
6,19,2005,2018,1,0.1338871104731641
6,19,2006,2018,1,0.1392690795679841
6,19,2298,2018,1,0.1803349107503891
6,20,1798,2018,1,0.1188205731847856
6,20,1799,2018,1,0.1754876429738562
8,21,2069,2018,1,0.1881789711638028
8,22,1956,2018,1,0.1735781715029762
8,22,1957,2018,1,0.0939742514404155
8,22,2022,2018,1,0.1981867729612516
8,23,1295,2018,1,0.1100598550579696
8,23,1296,2018,1,0.1561973472542678
8,23,1297,2018,1,0.1155034890128868
8,23,1738,2018,1,0.0999226143036049
8,23,1999,2018,1,0.0814590715058947
8,23,2171,2018,1,0.2012596577405929
8,23,2234,2018,1,0.038961037993431
8,23,2235,2018,1,0.0580204762518405
8,24,966,2018,1,0.1067533574809672
8,24,1005,2018,1,0.0936321747394407
8,24,1737,2018,1,0.0742960074669411
8,25,302,2018,1,0.0780121604700966
