district_code,district,year,month,lst,night_lst
17744,Sagar,2017.0,6.0,41.99939775988408,25.438346707822284
17745,Satna,2017.0,6.0,42.31931269461822,24.869102689618142
17746,Sehore,2017.0,6.0,40.97191845130965,24.91571528398153
17747,Seoni,2017.0,6.0,41.441916638593284,24.27125580065605
17749,Shajapur,2017.0,6.0,41.73590228356089,24.547551328110707
17750,Shivpuri,2017.0,6.0,42.391039059992536,25.11401162790697
17751,Sidhi,2017.0,6.0,41.17077033110707,24.950680380052365
17753,Tikamgarh,2017.0,6.0,42.31274428040591,26.31710758916359
17754,Ujjain,2017.0,6.0,39.728155413273974,22.9128604350991
17755,Vidisha,2017.0,6.0,40.42224812074555,26.214767871549398
70171,Burhanpur,2017.0,6.0,37.889255125996854,23.80510596521471
17728,Hoshangabad,2017.0,7.0,32.853771835197506,22.483954485693243
17730,Jabalpur,2017.0,7.0,32.22606092867087,23.21002241250847
17732,Mandla,2017.0,7.0,29.282917601595617,21.135823019618318
17733,Mandsaur,2017.0,7.0,37.676935706053776,21.028471332751714
17734,Morena,2017.0,7.0,37.457127636365925,24.34127992871968
17741,Rajgarh,2017.0,7.0,37.95338610566748,22.101650741479293
17756,West Nimar,2017.0,7.0,32.46143630025771,20.09385278606942
70170,Barwani,2017.0,7.0,30.288715314284413,19.063872128341114
70172,Dindori,2017.0,7.0,28.64521355828822,18.72677916509125
70173,Harda,2017.0,7.0,33.73462471512724,22.336443812395796
70174,Katni,2017.0,7.0,29.651326004127682,22.821613057115314
70175,Neemuch,2017.0,7.0,37.19887136128737,21.55086805305007
70176,Sheopur,2017.0,7.0,35.924895151567945,23.363856962134598
70177,Umaria,2017.0,7.0,27.137612190282066,20.256224376490604
17725,East Nimar,2017.0,7.0,32.82508090165872,21.304565321021865
17726,Guna,2017.0,7.0,34.6657473980581,22.359069529338594
17748,Shahdol,2017.0,7.0,29.708629266823163,20.27024313088759
70168,Anuppur,2017.0,7.0,31.159058988602524,21.178943429156416
70169,Ashoknagar,2017.0,7.0,33.16606053873108,23.178136150719872
17712,Balaghat,2017.0,7.0,30.86749296156013,21.439475995023606
17714,Betul,2017.0,7.0,31.170179598874324,20.947830770248917
17715,Bhind,2017.0,7.0,36.11808794017658,25.713934218968276
17716,Bhopal,2017.0,7.0,33.615179410344076,21.619919972197845
17718,Chhatarpur,2017.0,7.0,32.83224360448914,24.60054375391992
17719,Chhindwara,2017.0,7.0,32.973385126548486,19.843811890413335
17720,Damoh,2017.0,7.0,35.76304686312529,23.32027375296136
17721,Datia,2017.0,7.0,33.9326562560099,24.672116608900488
17722,Dewas,2017.0,7.0,32.11694277636008,20.737794093441256
17723,Dhar,2017.0,7.0,31.811179224253273,19.359237599007972
17727,Gwalior,2017.0,7.0,38.20647627332564,24.704439904108092
17729,Indore,2017.0,7.0,30.09055871403263,19.08053752975406
17731,Jhabua,2017.0,7.0,29.627877329240704,19.44815212122996
17735,Narsinghpur,2017.0,7.0,30.105037997119787,21.993807656183087
17736,Panna,2017.0,7.0,28.43691746957126,23.411425012456434
17739,Raisen,2017.0,7.0,33.44691122448288,21.739958152526192
17742,Ratlam,2017.0,7.0,36.00307775637079,19.92934356886536
17743,Rewa,2017.0,7.0,30.68235546211698,23.6119064957284
17744,Sagar,2017.0,7.0,33.875606822031095,21.959334142059056
17745,Satna,2017.0,7.0,30.37876017872055,24.324600963710314
17746,Sehore,2017.0,7.0,34.614774815798334,21.11446505026644
17747,Seoni,2017.0,7.0,32.49596948141704,21.092198435760693
17749,Shajapur,2017.0,7.0,34.30679536974466,21.830202116732714
17750,Shivpuri,2017.0,7.0,37.46118959732451,23.218612438637283
17751,Sidhi,2017.0,7.0,31.924400486137635,23.985793169097246
17753,Tikamgarh,2017.0,7.0,33.038994560642124,24.577425139356436
17754,Ujjain,2017.0,7.0,34.815905460025505,20.481896420338487
17755,Vidisha,2017.0,7.0,35.002766361866314,21.58674186014327
70171,Burhanpur,2017.0,7.0,32.03222806911275,20.346574835398464
17728,Hoshangabad,2017.0,8.0,29.049420211429208,21.093951597679265
17730,Jabalpur,2017.0,8.0,29.33395761876612,22.214159834774605
17732,Mandla,2017.0,8.0,27.682106578783976,21.429507846181924
17733,Mandsaur,2017.0,8.0,27.70647283290107,21.447394492721156
17734,Morena,2017.0,8.0,32.372198536841196,24.121102814724193
17741,Rajgarh,2017.0,8.0,28.790686539444412,21.088110731990533
17756,West Nimar,2017.0,8.0,27.894167546478894,21.069654265678352
70170,Barwani,2017.0,8.0,27.80087048249392,19.120724575249334
70172,Dindori,2017.0,8.0,27.744329496507646,19.687633257048592
70173,Harda,2017.0,8.0,29.109530996746415,20.898986715255447
70174,Katni,2017.0,8.0,29.916862470147695,22.64516257725409
70175,Neemuch,2017.0,8.0,28.665083799209384,21.605801202408312
70176,Sheopur,2017.0,8.0,30.18618866982373,23.223379053652927
70177,Umaria,2017.0,8.0,29.536325889186028,22.44672941267233
17725,East Nimar,2017.0,8.0,28.638296299902745,21.931628605026912
17726,Guna,2017.0,8.0,29.056131050411185,21.589741710276208
17748,Shahdol,2017.0,8.0,29.821588619724135,22.168122107967772
70168,Anuppur,2017.0,8.0,29.316359048446333,22.32015422410266
70169,Ashoknagar,2017.0,8.0,29.16879515852208,21.318884707280716
17712,Balaghat,2017.0,8.0,27.359045248440335,20.899081242028142
17714,Betul,2017.0,8.0,28.23600826093433,20.091403334554553
17715,Bhind,2017.0,8.0,35.107843487809,22.629743389852575
17716,Bhopal,2017.0,8.0,28.443446970619764,20.80772685260205
17718,Chhatarpur,2017.0,8.0,31.433803053097098,23.401500059471594
17719,Chhindwara,2017.0,8.0,28.66950584734238,19.66562288494155
17720,Damoh,2017.0,8.0,30.18559926921429,22.723837663246716
17721,Datia,2017.0,8.0,33.205305025223765,23.581014192765632
17722,Dewas,2017.0,8.0,28.11390411069526,20.624927427071647
17723,Dhar,2017.0,8.0,27.18312819930316,20.04645862067237
17727,Gwalior,2017.0,8.0,34.02787262748058,22.930233026453422
17729,Indore,2017.0,8.0,26.44313136040931,19.404496322165805
17731,Jhabua,2017.0,8.0,26.784237390561465,19.92535315108117
17735,Narsinghpur,2017.0,8.0,29.433830085656044,22.13917500244442
17736,Panna,2017.0,8.0,30.482879783019804,23.319940069144494
17739,Raisen,2017.0,8.0,28.93108698647009,21.70778536403497
17742,Ratlam,2017.0,8.0,26.610881349290352,20.413429765033534
17743,Rewa,2017.0,8.0,30.581239347848115,23.71018182412895
17744,Sagar,2017.0,8.0,29.899154738856904,21.68678389184433
17745,Satna,2017.0,8.0,31.46634222772743,23.564429397762765
17746,Sehore,2017.0,8.0,28.348912387757604,20.783161209965655
17747,Seoni,2017.0,8.0,28.007239473921352,20.449943274171332
17749,Shajapur,2017.0,8.0,28.02209457448292,20.439159055372922
17750,Shivpuri,2017.0,8.0,32.11052758186055,22.669707446268028
17751,Sidhi,2017.0,8.0,30.215841734282808,23.241938131440413
17753,Tikamgarh,2017.0,8.0,32.108402376908884,23.952995358687552
17754,Ujjain,2017.0,8.0,26.60632507297923,19.90445592996424
17755,Vidisha,2017.0,8.0,29.398626559961237,21.36233343464024
70171,Burhanpur,2017.0,8.0,28.379266821160773,20.933577822464823
17728,Hoshangabad,2017.0,9.0,30.449368202336107,21.940851347376398
17730,Jabalpur,2017.0,9.0,31.754068616312285,22.776243057759466
17732,Mandla,2017.0,9.0,30.28286286056812,20.793989831072672
17733,Mandsaur,2017.0,9.0,34.94010681663555,20.344134747864494
17734,Morena,2017.0,9.0,36.07393024567988,25.211618452666983
17741,Rajgarh,2017.0,9.0,34.235873584869125,21.078215285801022
17756,West Nimar,2017.0,9.0,32.00864875193091,20.142157136763778
70170,Barwani,2017.0,9.0,31.67436465166121,19.720538280072923
70172,Dindori,2017.0,9.0,29.690657421873745,19.473595023869127
70173,Harda,2017.0,9.0,31.281780921809208,21.478129057581384
70174,Katni,2017.0,9.0,31.70771214187245,23.139502729887496
70175,Neemuch,2017.0,9.0,34.43609718389437,22.11765844423725
70176,Sheopur,2017.0,9.0,35.425116063678956,25.855094131531295
70177,Umaria,2017.0,9.0,31.187080542100123,22.51325913485208
17725,East Nimar,2017.0,9.0,31.55880917888846,22.161404936105725
17726,Guna,2017.0,9.0,33.8024511846908,22.420470486645513
17748,Shahdol,2017.0,9.0,31.228424232561427,21.606525538742837
70168,Anuppur,2017.0,9.0,30.66830013023716,21.726597148598838
70169,Ashoknagar,2017.0,9.0,33.7221862940855,21.939395319227017
17712,Balaghat,2017.0,9.0,28.82085189189457,21.185209964422288
17714,Betul,2017.0,9.0,29.68735984380184,20.20402353593739
17715,Bhind,2017.0,9.0,37.54545222766529,24.74999897657245
17716,Bhopal,2017.0,9.0,33.18893098920981,20.51087828972512
17718,Chhatarpur,2017.0,9.0,34.31341423456446,23.59421910918393
17719,Chhindwara,2017.0,9.0,29.7442482572741,20.12224372516139
17720,Damoh,2017.0,9.0,33.57191569079806,23.178721040828503
17721,Datia,2017.0,9.0,35.82345230032582,24.554536908115605
17722,Dewas,2017.0,9.0,32.953853430281384,21.43891804678194
17723,Dhar,2017.0,9.0,32.67194670171717,21.35464335572816
17727,Gwalior,2017.0,9.0,36.73012626589527,25.423339213592644
17729,Indore,2017.0,9.0,33.61419156788784,22.286282167671928
17731,Jhabua,2017.0,9.0,31.57403731467436,21.847926697497545
17735,Narsinghpur,2017.0,9.0,31.471571693912594,22.157335216175632
17736,Panna,2017.0,9.0,32.869821734497904,23.344552787714438
17739,Raisen,2017.0,9.0,31.412944180894304,21.465650213926082
