zone,year,month,built_up_percent,method
10,2021,6,75.17812121939733,computed
11,2021,6,79.10319254062833,computed
12,2021,6,86.69752270690844,computed
1,2021,7,83.54250446226963,computed
2,2021,7,79.04760874503738,computed
3,2021,7,32.6905331231315,computed
4,2021,7,67.21137268890078,computed
5,2021,7,74.93495077355837,computed
6,2021,7,56.11100718815866,computed
7,2021,7,23.188314690729264,computed
8,2021,7,69.30383528276306,computed
9,2021,7,29.162818792092654,computed
10,2021,7,75.17812121939733,computed
11,2021,7,79.10319254062833,computed
12,2021,7,86.69752270690844,computed
1,2021,8,83.54250446226963,computed
2,2021,8,79.04760874503738,computed
3,2021,8,32.6905331231315,computed
4,2021,8,67.21137268890078,computed
5,2021,8,74.93495077355837,computed
6,2021,8,56.11100718815866,computed
7,2021,8,23.188314690729264,computed
8,2021,8,69.30383528276306,computed
9,2021,8,29.162818792092654,computed
10,2021,8,75.17812121939733,computed
11,2021,8,79.10319254062833,computed
12,2021,8,86.69752270690844,computed
1,2021,9,83.54250446226963,computed
2,2021,9,79.04760874503738,computed
3,2021,9,32.6905331231315,computed
4,2021,9,67.21137268890078,computed
5,2021,9,74.93495077355837,computed
6,2021,9,56.11100718815866,computed
7,2021,9,23.188314690729264,computed
8,2021,9,69.30383528276306,computed
9,2021,9,29.162818792092654,computed
10,2021,9,75.17812121939733,computed
11,2021,9,79.10319254062833,computed
12,2021,9,86.69752270690844,computed
1,2021,10,83.54250446226963,computed
2,2021,10,79.04760874503738,computed
3,2021,10,32.6905331231315,computed
4,2021,10,67.21137268890078,computed
5,2021,10,74.93495077355837,computed
6,2021,10,56.11100718815866,computed
7,2021,10,23.188314690729264,computed
8,2021,10,69.30383528276306,computed
9,2021,10,29.162818792092654,computed
10,2021,10,75.17812121939733,computed
11,2021,10,79.10319254062833,computed
12,2021,10,86.69752270690844,computed
1,2021,11,83.54250446226963,computed
2,2021,11,79.04760874503738,computed
3,2021,11,32.6905331231315,computed
4,2021,11,67.21137268890078,computed
5,2021,11,74.93495077355837,computed
6,2021,11,56.11100718815866,computed
7,2021,11,23.188314690729264,computed
8,2021,11,69.30383528276306,computed
9,2021,11,29.162818792092654,computed
10,2021,11,75.17812121939733,computed
11,2021,11,79.10319254062833,computed
12,2021,11,86.69752270690844,computed
1,2021,12,83.54250446226963,computed
2,2021,12,79.04760874503738,computed
3,2021,12,32.6905331231315,computed
4,2021,12,67.21137268890078,computed
5,2021,12,74.93495077355837,computed
6,2021,12,56.11100718815866,computed
7,2021,12,23.188314690729264,computed
8,2021,12,69.30383528276306,computed
9,2021,12,29.162818792092654,computed
10,2021,12,75.17812121939733,computed
11,2021,12,79.10319254062833,computed
12,2021,12,86.69752270690844,computed
1,2022,1,87.05662243822715,extrapolated
2,2022,1,86.08539500870826,extrapolated
3,2022,1,32.478759809209144,extrapolated
4,2022,1,69.64954521134297,extrapolated
5,2022,1,80.05450070323488,extrapolated
6,2022,1,59.39518430305362,extrapolated
7,2022,1,24.53317916342903,extrapolated
8,2022,1,72.03506675552084,extrapolated
9,2022,1,30.239851151309505,extrapolated
10,2022,1,78.79641772023311,extrapolated
11,2022,1,83.05008463216805,extrapolated
12,2022,1,90.09082763377576,extrapolated
1,2022,2,87.05662243822715,extrapolated
2,2022,2,86.08539500870826,extrapolated
3,2022,2,32.478759809209144,extrapolated
4,2022,2,69.64954521134297,extrapolated
5,2022,2,80.05450070323488,extrapolated
6,2022,2,59.39518430305362,extrapolated
7,2022,2,24.53317916342903,extrapolated
8,2022,2,72.03506675552084,extrapolated
9,2022,2,30.239851151309505,extrapolated
10,2022,2,78.79641772023311,extrapolated
11,2022,2,83.05008463216805,extrapolated
12,2022,2,90.09082763377576,extrapolated
1,2022,3,87.05662243822715,extrapolated
2,2022,3,86.08539500870826,extrapolated
3,2022,3,32.478759809209144,extrapolated
4,2022,3,69.64954521134297,extrapolated
5,2022,3,80.05450070323488,extrapolated
6,2022,3,59.39518430305362,extrapolated
7,2022,3,24.53317916342903,extrapolated
8,2022,3,72.03506675552084,extrapolated
9,2022,3,30.239851151309505,extrapolated
10,2022,3,78.79641772023311,extrapolated
11,2022,3,83.05008463216805,extrapolated
12,2022,3,90.09082763377576,extrapolated
1,2022,4,87.05662243822715,extrapolated
2,2022,4,86.08539500870826,extrapolated
3,2022,4,32.478759809209144,extrapolated
4,2022,4,69.64954521134297,extrapolated
5,2022,4,80.05450070323488,extrapolated
6,2022,4,59.39518430305362,extrapolated
7,2022,4,24.53317916342903,extrapolated
8,2022,4,72.03506675552084,extrapolated
9,2022,4,30.239851151309505,extrapolated
10,2022,4,78.79641772023311,extrapolated
11,2022,4,83.05008463216805,extrapolated
12,2022,4,90.09082763377576,extrapolated
1,2022,5,87.05662243822715,extrapolated
2,2022,5,86.08539500870826,extrapolated
3,2022,5,32.478759809209144,extrapolated
